Timestamp,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Label
2025-06-14 09:57:59,192.168.1.11,3809,192.168.1.4,35104,RA,
2025-06-14 09:57:59,192.168.1.4,39698,192.168.1.11,1864,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1864,192.168.1.4,39698,RA,
2025-06-14 09:57:59,192.168.1.4,44662,192.168.1.11,366,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,366,192.168.1.4,44662,RA,
2025-06-14 09:57:59,192.168.1.4,56366,192.168.1.11,5061,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5061,192.168.1.4,56366,RA,
2025-06-14 09:57:59,192.168.1.4,48484,192.168.1.11,2042,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,2042,192.168.1.4,48484,RA,
2025-06-14 09:57:59,192.168.1.4,34036,192.168.1.11,44443,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,44443,192.168.1.4,34036,RA,
2025-06-14 09:57:59,192.168.1.4,38300,192.168.1.11,6566,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,6566,192.168.1.4,38300,RA,
2025-06-14 09:57:59,192.168.1.4,56726,192.168.1.11,1027,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1027,192.168.1.4,56726,RA,
2025-06-14 09:57:59,192.168.1.4,40702,192.168.1.11,8291,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8291,192.168.1.4,40702,RA,
2025-06-14 09:57:59,192.168.1.4,34440,192.168.1.11,4279,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,4279,192.168.1.4,34440,RA,
2025-06-14 09:57:59,192.168.1.4,35042,192.168.1.11,16113,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,16113,192.168.1.4,35042,RA,
2025-06-14 09:57:59,192.168.1.4,46250,192.168.1.11,808,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,808,192.168.1.4,46250,RA,
2025-06-14 09:57:59,192.168.1.4,44356,192.168.1.11,6002,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,6002,192.168.1.4,44356,RA,
2025-06-14 09:57:59,192.168.1.4,47146,192.168.1.11,49167,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,49167,192.168.1.4,47146,RA,
2025-06-14 09:57:59,192.168.1.4,57080,192.168.1.11,1001,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1001,192.168.1.4,57080,RA,
2025-06-14 09:57:59,192.168.1.4,35228,192.168.1.11,1148,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1148,192.168.1.4,35228,RA,
2025-06-14 09:57:59,192.168.1.4,60766,192.168.1.11,9502,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,9502,192.168.1.4,60766,RA,
2025-06-14 09:57:59,192.168.1.4,45984,192.168.1.11,8010,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8010,192.168.1.4,45984,RA,
2025-06-14 09:57:59,192.168.1.4,53866,192.168.1.11,5432,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5432,192.168.1.4,53866,RA,
2025-06-14 09:57:59,192.168.1.4,60252,192.168.1.11,2811,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,2811,192.168.1.4,60252,RA,
2025-06-14 09:57:59,192.168.1.4,34230,192.168.1.11,1080,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1080,192.168.1.4,34230,RA,
2025-06-14 09:57:59,192.168.1.4,49780,192.168.1.11,1105,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1105,192.168.1.4,49780,RA,
2025-06-14 09:57:59,192.168.1.4,58866,192.168.1.11,4343,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,4343,192.168.1.4,58866,RA,
2025-06-14 09:57:59,192.168.1.4,56670,192.168.1.11,3268,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3268,192.168.1.4,56670,RA,
2025-06-14 09:57:59,192.168.1.4,39246,192.168.1.11,8254,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8254,192.168.1.4,39246,RA,
2025-06-14 09:57:59,192.168.1.4,33492,192.168.1.11,10621,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,10621,192.168.1.4,33492,RA,
2025-06-14 09:57:59,192.168.1.4,58538,192.168.1.11,646,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,646,192.168.1.4,58538,RA,
2025-06-14 09:57:59,192.168.1.4,42384,192.168.1.11,81,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,81,192.168.1.4,42384,RA,
2025-06-14 09:57:59,192.168.1.4,48444,192.168.1.11,4444,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,4444,192.168.1.4,48444,RA,
2025-06-14 09:57:59,192.168.1.4,52352,192.168.1.11,3333,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3333,192.168.1.4,52352,RA,
2025-06-14 09:57:59,192.168.1.4,37908,192.168.1.11,5357,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.4,33276,192.168.1.11,3301,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5357,192.168.1.4,37908,RA,
2025-06-14 09:57:59,192.168.1.11,3301,192.168.1.4,33276,RA,
2025-06-14 09:57:59,192.168.1.4,55894,192.168.1.11,264,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,264,192.168.1.4,55894,RA,
2025-06-14 09:57:59,192.168.1.4,44312,192.168.1.11,981,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,981,192.168.1.4,44312,RA,
2025-06-14 09:57:59,192.168.1.4,38938,192.168.1.11,2601,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,2601,192.168.1.4,38938,RA,
2025-06-14 09:57:59,192.168.1.4,52546,192.168.1.11,9001,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,9001,192.168.1.4,52546,RA,
2025-06-14 09:57:59,192.168.1.4,51196,192.168.1.11,50003,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,50003,192.168.1.4,51196,RA,
2025-06-14 09:57:59,192.168.1.4,34348,192.168.1.11,1030,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1030,192.168.1.4,34348,RA,
2025-06-14 09:57:59,192.168.1.4,52046,192.168.1.11,306,S,VARREDURA_DE_PORTA
